Phrase	IPA	SoundsLike	DisplayAs
bitcoin		bit-coin	
plexiglass		plexy-glass	
meds			
p.g.w.			PGW
pliers			
elite			
powerbank			
defibrillator			
defib			defibrillator
p.-cord			PCord
power-cord			PCord
p.s.u.			PSU
power-supply			PSU
pass			
p.-guage			PGauge
pressure-guage			PGauge
p.c.b.			PCB
paper			
propane			
ram			RAM
helix			
ratchet			
raven			
r.-battery			rbattery
rec-battery			rbattery
repellent			
ripstop			
roler			
r.-pliers			RPliers
shampoo			
nuts			
screwdriver			scdr.
master			
krasavch		krass-ave-ch	
shus		shoo-s	
tube			
badge			
d.-cleaner			DCleaner
soap			
spark-plug			splug
s.-plug			splug
strike			strike
surv-l.			SurvL
survival-lighter			SurvL
t.-plug			T-Plug
t.p.-two-hundred			TP-200
tetriz		tetris	Tetriz
t.p.			toilet paper
toilet-paper			toilet paper
toolset			
toothpaste			
poxeram		pocks-a-ram	
v.p.x.			VPX
veritas		ver-y-tas	
virtex		ver-tex	
w.d.-fourty			WD40 100ml
w.d.-fourty-big			WD40 400ml
w.-filter			WFilter
water-filter			WFilter
w.-parts			WParts
weapon-parts			WParts
wilston		will-ston	
w.-clock			WClock
L.C.D.			Working LCD
xeno		zee-no	
wrench			
zibbo		zibb-oh	
moonshine			
alyonka		ali-on-ka	
aquamari		aqua-marie	
crackers			
kvass		k-vass	
whiskey			
vokda			
pevko		pehv-co	
water			
hot-rod			
ice-green			IceGreen
max-energy			MaxEnergy
rat-cola			RatCola
tar-cola			TarCola
tushonka		toosh-on-ka	beef stew small
big-tushonka		big-toosh-on-ka	beef stew large
condensed-milk			cond. milk
peas			
herring		hair-ing	
hump-back			humbpack
saury		sorry	
sprats			
squash			
super-water			superwater
emelya		emilia	
e.w.r.			EWR
iskra		is-crap	
mayo			
m.r.e.			MRE
grand			
pineapple			
vita			
milk			
oatflakes			
sugar			
croutons			
slickers			
t.t.-zero-one			TT01
a.c.r.o.p.-one			ACRO P-1
comp-m.-four			CompM4
h.-two			H-2
t.-one			T-1
pro			
e.k.p.-eight-zero-two			EKP-8-02
e.k.p.-eight-o.-two			EKP-8-02
e.k.p.-eight-eighteen			EKP-8-18
p.k.-o.-six			PK-06
p.k.-zero-six			PK-06
f.f.-three			FF3
tac-thirty		tack-thirty	TAC30
specter-d.r.			SpecterDR
specter-d.r.-f.d.e.			SpecterDR FDE
five-five-three			553
e.x.p.s.-three			EXPS3
h.h.s.-one			HHS-1
h.h.s.-one-tan			HHS-1 Tan
vudu			VUDU 1-6x24
x.p.s.-three-zero			XPS3-0
x.p.s.-three-o.			XPS3-0
x.p.s.-three-two			XPS3-2
u.t.g.			UTG
h.a.m.r.		hammer	HAMR
d.p.			DP
compact-two-by-thirty-two			Compact 2x32
a.d.o.-p.-four			ADO P4
o.k.p.-seven			OKP-7
o.k.p.-seven-dove			OKP-7 Dove
prism			Prism 2.5x
bravo-four			Bravo4
romeo-four			Romeo4
romeo-eight-t.			Romeo8T
r.m.r.			RMR
krechet		creh-sheh	
p.k.-one-twenty			PK-120
u.h.-one			UH-1
p.s.-three-twenty			PS-320
m.r.s.			MRS
altyn		all-tin	Altyn
altyn-face-shield			Altyn FS
killa-helmet		kil-a-helmet	Maska-1SCh Killa
killa-helmet-faceshield			1SCH FS
maska-one-s.c.h.		mass-ka-one-ess-see-h	Maska-1Sch
one-s.c.h.-faceshield			Maska-1ScH Killa FS
rys-t		ris-tee	Rys-T
rys-t-faceshield		ris-tee-face-shield	Rys-T FS
shattered			
vulkan			Vulkan-5
vulkan-five			Vulkan-5
hexgrid		hex-grid	
killa-armor			6b13 M
six-b.-one-three-m.			6b13 M
six-b.-thirteen-assault			6b13 asault
six-b.-twenty-three-two			6B23-2
six-b.-fourty-three-six-a.			6B43 6A
fort-armor			6B43 6A
six-b.-fourty-seven			6B47
six-b.-fourty-seven-d.f.l.			6B47 DFL
gzhel-k.		gazelle-k	Ghzel-K
gzhel		gazelle	Ghzel
kirasa-n.		ki-rah-sah-n	kirasa-n
kirasa		ki-rah-sah	kirasa-n
press-armor			zhuk-3
zhuk-six-a.		zuk-six-a	zhuk-6a
zhuk		zuk	zhuk-6a
bastion-plate			
bomber			
caiman-m.g.		cay-man-m-g	Caiman MG
caiman-f.a.v.		cay-man-f-a-v	Caiman FAV
applique		app-lick	applique
a.f.-chops			AF Chops
a.f.-ears			AF Ears
airframe-tan			AirFrame Tan
d.r.d.			DRD
death-knight			
ronin			
bastion			
defender			Defender
defender-two			Defender
redut-m.		ree-dut	Redut-M
redut-t.-five		ree-dut-tee-five	Redut-T5
kiver-m.		kee-ver-m	Kiver-M
kiver		kee-ver	Kiver-M
caiman		cayman	Caiman
glorious			
a.c.h.h.c			ACHHC
ulach		you-lock	ULACH
ulach-tan		you-lock-tan	ULACH Tan
trooper			
gen-four-assault			Gen4 Assault
gen-four-full			Gen4 Full
gen-four-h.m.k.			Gen4 HMK
kiver-faceshield			Kiver FS
slick			
m.-fun			MF-UN
t.c.-two-thousand-one			TC-2001
t.c.-two-thousand-two			TC-2002
t.c.-eight-hundren			TC 800
h.-jelm			HJELM
korund			Korund-VM
thor-i.c.			THOR IC
condor			
gunsight			
fast-m.t.			Fast MT
fast-m.t.-tan			Fast MT Tan
fast-ears			Fast Ears
fast			
fast-faceshield			fast FS
slaap		slap	SLAAP
exfil-faceshield			exfil fs
exfil-ears			exfil ears
exfil-black			exfil black
exfil-c.b.			exfil cb
untar		un-tar	untar
vulkan-faceshield			vulkan-5 fs
zish-faceshield			Zsh-1-2M FS
zish			Zsh-1-2M
gorilla			
tactec		tack-tech	TacTec
diaper			6B3TM-01M
six-b.-five-fifteen			6B5-15
six-b.-five-sixteen			6B5-16
alpha			
a.n.a.-m.-one		ana-m-one	ANA M1
a.n.a.-m.-two		ana-m-two	ANA M2
a-eighteen			A18
c.p.c.-mod-two			CPC MOD.2
azimut		azi-mutt	Azimut
belt-combo			Belt Combo
commando			
blackrock			
osprey			Osprey
c.s.a.			CSA
a.v.s.			AVS
a.v.s.-m.b.a.v.			AVS MBAV
c.p.c.-g.e.			CPC GE
idea-rig			
thunderbolt			
triton			
r.b.a.v.-a.f.			RBAV-AF
m.m.a.c.			MMAC
strandhogg		strand-hog	Strandhogg
b.s.s.-m.k.-one			BSS-MK1
d.-three-c.r.x.			D3CRX
l.b.c.r.			LBCR
l.b.c.r.-g.e.			LBCR GE
bagariy		bag-are-ee	Bagariy
plateframe-g.e.			PlateFrame GE
m.-rig			MRig
scav-vest			Scav Vest
security			
bank-robber			
tarzan			
c.r.m.k.-two-a.			CR MK2 (A)
c.r.m.k-two-r.			CR MK2 (R)
t.t.-s.k.			TT SK
six-s.h.			6sh112 S-s
umka		um-kah	umka
m.p.p.v.			MPPV
m.k.-three			MK3 TV-104
t.v.-one-ten			TV-110
s.a.s.			SAS
s.s.d.			SSD
flash-drive			flash drive
s.-diary			SDiary
manual			
weapon-repair-kit			
scorpius		scorp-ee-us	
a.g.s.-seventy-four			AGS-74
a.g.r.-fourty-seven			AGR47
m.g.-fourty-seven-a.k.			MG-47 AK
m.g.-fourty-seven-a.k.-red			
m.o.e.-a.k.			MOE AK
a.k.-e.p.g.			AK-EPG
s.a.w.			SAW
s.a.w.-f.d.e.			SAW FDE
t.d.-b.g.			TD BG
u.s.-palm			AK US Palm pistol grip
r.k.-three			RK-3
a.k.-twelve			AK-12
a.-two			A2
d.l.g.-one-two-three			DLG123
e.c.s.f.d.e.			ECS FDE
f.-one-.s.t.-one			F1 St1
f.-one-.s.t.-two-p.c.			F1 ST2 PC
f.-one-.s.t.-two			F1 ST2
battle-grip			Battle Grip
ergo			
m.o.e.a.r.-fifteen			MOE AR15
gral-s		grall-ess	
t.d.-hex			TD Hex
t.d.-one-two-zero-zero-zero-one			TD120001
r.-fourty-three-val			R43 VAL
pro-seven-hundren			Pro700
ultima			
mosin-pistol-grip			
t-fivethousand-m.			T-5000M
p.-two-two-six-axelson			P226 Axelson
p.-two-two-six-f.d.e.			P226 FDE
p.-two-two-six-scorpion			P226 Scorpion
p.-two-two-six-c.l.			P226 CL
p.-two-two-six-hogue			P226 Hogue
p.-two-two-six-elite			P226 Elite
p.-two-two-six-black			P226 Black
m.v.f.-zero-zero-one			MVF001
a.x.m.c.-pad			AXMC pad
ash-twelve			ASh-12
g.f.-mod-three			GF MOD3
shift			Fortis shift
sturmgriff		stern-griff	
c.q.r.			CQR tactical
k.a.c.v.f.g.			KAC VFG
m.p.-nine-v.f.g.			MP9 VFG
a.f.g.-black			AFG BLK
a.f.g.-f.d.e.			AFG FDE
a.f.g.-f.g.			AFG FG
a.f.g.-o.d.			AFG OD
a.f.g.-m.-lock			AFG M-LOK
a.f.g.-m-lock-f.d.e.			AFG M-LOK FDE
a.f.g.-m-lock-olive			AFG M-LOK Olive
a.f.g.-m-lock-gray			AFG M-LOK gray
r.v.g.-black			RVG BLK
r.v.g.-f.d.e.			RVG FDE
m.t.-v.f.g.			MT VFG
t.-five-thousand-m.-pad			T-5000M Pad
pillau		pill-ow	
s.s.v.f.k.			SSVFK
s.e.-five			SE-5
s.i.-cobra			SI Cobra
s.f.g.			SFG
b.v.g.m.k.-fourty-six-k.			BVG-MK46K
b.v.g.m.k.-fourty-six-k.-f.d.e.			BVG-MK46K FDE
b.v.g.m.k.-fourty-six-k.-grey			BVG-MK46K Gray
u.v.g.			UVG
r.k.-zero			RK-0
r.k.-one			RK-1
b.-twenty-five-u.			B-25U RK-1
r.k.-two			RK-2
r.k.-four			RK-4
r.k.-five			RK-5
r.k.-six			RK-6
s.d.n.-six			SDN-6
illusion-nine			Illusion 9
d.t.k.p.			DTKP
d.g.n.a.k.-fourty-seven-b.			DGNAK47B
s.r.v.v.a.k.m.		surv-akm	SRVV AKM
dynacomp-a.k.		dine-a-comp-a-k	Dynacomp AK
antidote			
d.t.k.-one			DTK-1
hexagon-a.k.-seventy-four			Hexagon AK-74
p.w.s.c.q.b.-seventy-four			PWS CQB 74
s.r.v.v.a.k.-seventy-four			SRVV AK74
t.g.p.a.			TGP-A
hexagon-a.k.m.			Hexagon AKM
p.b.s.-one			PBS-1
d.t.k.-four-m.			DTK-4M
a.k.m.l			AKML
p.b.s.-four			PBS-4
a.p.b.			APB
wave-seven-six-two			WAVE 762
keymount			
red-seven-six-two			RED 762
k.a.c.q.d.c.			KAC QDC
q.d.c.-seven-six-two			QDC 762
shrewd-seven-six-two			SHREWD 762
d.g.n.-seven-six-two-b.			DGN762B
vette-seven-six-two		vett-seven-six-two	Vette 762
atlas-seven			ATLAS-7
m.-eleven			M11
procomp-seven-six-two			ProComp 762
war-seven-six-two			War 762
wave-five-five-six			WAVE 556
u.s.g.i.a.-two			AUSGI A2
p.s.r.-five-five-six			PSR 556
q.d.c.-five-five-six			QDC 556
blitz-five-five-six			BLITZ 556
vette-five-five-six			Vette 556
k.x.-three-five-five-six			KX3 556
p.w.s.c.q.b.			PWS CQB
jailbrake		jail-brake	
a.s.r.-five-five-six			ASR 556
war-comp-five-five-six			WarComp 556
war-five-five-six			War 556
claymore			
v.p.-zero-nine		vee-pee-oh-nine	VP-09
phantom		fantom	
v.a.l.-suppressor			VAL suppressor
ash-twelve			ASh-12
alpha-nine			Alpha 9
d.v.l.-ten-m.d.			DVL-10 MD
d.v.l.-ten-m.-two			DVL-10 M2
wave-q.d.			WAVE QD
g.k.-zero-one		gee-kay-oh-one	GK-01
g.k.-zero-two		gee-kay-oh-two	GK-02
one			ONE
s.f.n.-five-seven			SFN-57
